Initials,Ability Name,Class,Level Req,Rarity,Difficulty,Dungeon,Source URL
DT,Whirlwind,Warrior,1,Uncommon,DT:Default Item/Easy,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Fireball,Mage,1,Common,DT:Default Item/Easy,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Slam,Warrior,1,Uncommon,DT:Medium,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Blue Fireball,Mage,1,Common,DT:Medium,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Arcane Spray,Mage,1,Uncommon,DT:Hard,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Poison Cloud,Mage,1,Rare,DT:Easy,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT|WO,Battle Shout,Warrior,1,Uncommon,DT:Easy|WO:Easy,Desert Temple|Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
DT|WO,Innervate,Mage,1,Epic,DT:Hard|WO:Easy,Desert Temple|Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
DT|WO,Gale Slice,Warrior,30,Uncommon,DT:Hard|WO:Easy,Desert Temple|Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Lightning Strikes,Mage,1,Rare,DT:Medium,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Holy Barrier,Tank,1,Rare,DT:Medium,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Redemption,Healer,1,Uncommon,DT:TBD,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
DT,Holy Circle,Healer,1,Epic,DT:Hard,Desert Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Arcane Barrage,Warrior,30,Uncommon,WO:Easy,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Ice Needles,Mage,30,Uncommon,WO:Easy,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Rejuvenating Spray,Healer,30,Uncommon,WO:Easy,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Fire Bomb,Warrior,40,Uncommon,WO:Medium,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Lightning Beam,Mage,40,Uncommon,WO:Medium,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Taunting Aura,Tank,40,Uncommon,WO:Medium,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Aura of Life,Healer,40,Uncommon,WO:Medium,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Ground Slam,Warrior,50,Uncommon,WO:Hard,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Searing Beam,Mage,50,Uncommon,WO:Hard,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
WO,Piercing Rain,Mage,50,Uncommon,WO:Hard,Winter Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
PI,Demonic Strike,Warrior,60,Rare,PI:Insane,Pirate Island,https://dungeonquestroblox.fandom.com/wiki/Ability
PI,Ghostly Cannon Barrage,Mage,60,Uncommon,PI:Insane,Pirate Island,https://dungeonquestroblox.fandom.com/wiki/Ability
PI,Guardian Call,Tank,60,Epic,PI:Insane,Pirate Island,https://dungeonquestroblox.fandom.com/wiki/Ability
PI,Universal Heal,Healer,62,Epic,PI:Insane/Nightmare,Pirate Island,https://dungeonquestroblox.fandom.com/wiki/Ability
PI,Pulsefire,Mage,62,Rare,PI:Nightmare,Pirate Island,https://dungeonquestroblox.fandom.com/wiki/Ability
PI,Enchanted Spinning Blades,Warrior,64,Epic,PI:Nightmare,Pirate Island,https://dungeonquestroblox.fandom.com/wiki/Ability
PI,Phantom Flames,Mage,66,Epic,PI:Nightmare,Pirate Island,https://dungeonquestroblox.fandom.com/wiki/Ability
PI,Skull Flames,Mage,66,Epic,PI:Unobtainable,Pirate Island,https://dungeonquestroblox.fandom.com/wiki/Ability
KC,Chain Heal,Healer,68,Rare,KC:Insane/Nightmare,King's Castle,https://dungeonquestroblox.fandom.com/wiki/Ability
KC,Glacial Blows,Warrior,69,Rare,KC:Insane,King's Castle,https://dungeonquestroblox.fandom.com/wiki/Ability
KC,Thunderous Blast,Mage,70,Uncommon,KC:Insane,King's Castle,https://dungeonquestroblox.fandom.com/wiki/Ability
KC,Guardian's Blessing,Tank,70,Rare,KC:Insane/Nightmare,King's Castle,https://dungeonquestroblox.fandom.com/wiki/Ability
KC,Blade Throw,Warrior,73,Epic,KC:Nightmare,King's Castle,https://dungeonquestroblox.fandom.com/wiki/Ability
KC,Void Beam,Mage,73,Rare,KC:Nightmare,King's Castle,https://dungeonquestroblox.fandom.com/wiki/Ability
KC,Electric Boom,Mage,75,Epic,KC:Nightmare,King's Castle,https://dungeonquestroblox.fandom.com/wiki/Ability
UW,Rending Slice,Warrior,77,Rare,UW:Insane,The Underworld,https://dungeonquestroblox.fandom.com/wiki/Ability
UW,Infernal Orbs,Mage,77,Uncommon,UW:Insane,The Underworld,https://dungeonquestroblox.fandom.com/wiki/Ability
UW,Demonic Spikes,Mage,78,Rare,UW:Insane,The Underworld,https://dungeonquestroblox.fandom.com/wiki/Ability
UW,Infernal Strike,Warrior,83,Epic,UW:Nightmare,The Underworld,https://dungeonquestroblox.fandom.com/wiki/Ability
UW,Ice Nova,Mage,83,Rare,UW:Nightmare,The Underworld,https://dungeonquestroblox.fandom.com/wiki/Ability
UW,Ice Totem,Mage,84,Epic,UW:Nightmare,The Underworld,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Berserk,Warrior,90,Epic,SP:Insane/Nightmare,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Lava Lash,Warrior,90,Epic,SP:Insane,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Hand Cannon,Mage,90,Uncommon,SP:Insane,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Earth Clap,Mage,90,Rare,SP:Insane,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Enchanted Shuriken,Mage,90,Epic,SP:Insane,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Guardian Roar,Tank,90,Rare,SP:Insane/Nightmare,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Flame Cyclone,Warrior,93,Epic,SP:Nightmare,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Ghostly Rampage,Mage,93,Rare,SP:Nightmare,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
SP,Illusion Blast,Mage,93,Epic,SP:Nightmare,Samurai Palace,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Runic Strike,Warrior,99,Uncommon,TC:Insane,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Electric Slash,Warrior,99,Rare,TC:Insane,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Earth Kick,Mage,99,Uncommon,TC:Insane,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Tsunami,Mage,99,Uncommon,TC:Insane,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Icicle Barrage,Mage,99,Rare,TC:Insane,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Life Pulse,Healer,99,Rare,TC:Insane/Nightmare,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Blade Revolver,Warrior,104,Epic,TC:Nightmare,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Blade Storm,Warrior,104,Epic,TC:Nightmare,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Forgotten Army,Mage,104,Epic,TC:Nightmare,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
TC,Vortex,Mage,104,Epic,TC:Nightmare,The Canals,https://dungeonquestroblox.fandom.com/wiki/Ability
GH,Earth Spikes,Warrior,109,Uncommon,GH:Insane,Ghastly Harbor,https://dungeonquestroblox.fandom.com/wiki/Ability
GH,Mighty Leap,Warrior,109,Rare,GH:Insane,Ghastly Harbor,https://dungeonquestroblox.fandom.com/wiki/Ability
GH,Spirit Bomb,Mage,109,Uncommon,GH:Insane,Ghastly Harbor,https://dungeonquestroblox.fandom.com/wiki/Ability
GH,Smite,Mage,109,Rare,GH:Insane,Ghastly Harbor,https://dungeonquestroblox.fandom.com/wiki/Ability
GH,Pulse Beam,Warrior,114,Rare,GH:Nightmare,Ghastly Harbor,https://dungeonquestroblox.fandom.com/wiki/Ability
GH,Phantom Blades,Warrior,114,Epic,GH:Nightmare,Ghastly Harbor,https://dungeonquestroblox.fandom.com/wiki/Ability
GH,Void Spheres,Mage,114,Rare,GH:Nightmare,Ghastly Harbor,https://dungeonquestroblox.fandom.com/wiki/Ability
GH,Phantom Striker,Mage,114,Epic,GH:Nightmare,Ghastly Harbor,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Arrow Rain,Warrior,119,Rare,SS:Insane,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Star Barrage,Warrior,119,Rare,SS:Insane,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Pulse Waves,Mage,119,Rare,SS:Insane,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Starfall,Mage,119,Rare,SS:Insane,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Life Dash,Healer,119,Rare,SS:Insane,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Explosive Punch,Warrior,120,Epic,SS:Insane,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Orb Of Destruction,Mage,120,Epic,SS:Insane,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
